iter	Passed	Remaining
0	0	92
1	1	87
2	2	78
3	2	70
4	3	67
5	4	65
6	4	63
7	5	63
8	6	62
9	6	61
10	7	62
11	8	62
12	9	60
13	9	59
14	10	58
15	10	57
16	11	56
17	12	55
18	12	54
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	48
27	18	48
28	20	49
29	20	48
30	21	48
31	22	47
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	37
45	30	36
46	32	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	35	31
53	36	31
54	36	30
55	37	29
56	38	29
57	39	28
58	39	27
59	40	26
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	47	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
